S.No,Area / Locality,Search Phrase,Region,Area Type,URL
1,Vellore,"Vellore, Vellore, Tamil Nadu",Vellore district / Vellore region,Town / Administrative area,servicing-areas/vellore-catering.html
2,Katpadi,"Katpadi, Vellore, Tamil Nadu",Vellore district / Vellore region,Town / Administrative area,servicing-areas/katpadi-catering.html
3,Sathuvachari,"Sathuvachari, Vellore, Tamil Nadu",Vellore district / Vellore region,Locality / Village,servicing-areas/sathuvachari-catering.html
4,Gandhinagar,"Gandhinagar, Vellore, Tamil Nadu",Vellore district / Vellore region,Locality / Village,servicing-areas/gandhinagar-catering.html
5,Thorapadi,"Thorapadi, Vellore, Tamil Nadu",Vellore district / Vellore region,Locality / Village,servicing-areas/thorapadi-catering.html
6,Saidapet,"Saidapet, Vellore, Tamil Nadu",Vellore district / Vellore region,Locality / Village,servicing-areas/saidapet-catering.html
7,Bagayam,"Bagayam, Vellore, Tamil Nadu",Vellore district / Vellore region,Locality / Village,servicing-areas/bagayam-catering.html
8,Vellore Fort,"Vellore Fort, Vellore, Tamil Nadu",Vellore district / Vellore region,Locality / Village,servicing-areas/vellore-fort-catering.html
9,Long Bazaar,"Long Bazaar, Vellore, Tamil Nadu",Vellore district / Vellore region,Road / Junction / Landmark,servicing-areas/long-bazaar-catering.html
10,Officers Line,"Officers Line, Vellore, Tamil Nadu",Vellore district / Vellore region,Locality / Village,servicing-areas/officers-line-catering.html
11,Shenbakkam,"Shenbakkam, Vellore, Tamil Nadu",Vellore district / Vellore region,Locality / Village,servicing-areas/shenbakkam-catering.html
12,Konavattam,"Konavattam, Vellore, Tamil Nadu",Vellore district / Vellore region,Locality / Village,servicing-areas/konavattam-catering.html
13,Adukkamparai,"Adukkamparai, Vellore, Tamil Nadu",Vellore district / Vellore region,Locality / Village,servicing-areas/adukkamparai-catering.html
14,Ariyur,"Ariyur, Vellore, Tamil Nadu",Vellore district / Vellore region,Locality / Village,servicing-areas/ariyur-catering.html
15,Pennathur,"Pennathur, Vellore, Tamil Nadu",Vellore district / Vellore region,Locality / Village,servicing-areas/pennathur-catering.html
16,Pallikonda,"Pallikonda, Vellore, Tamil Nadu",Vellore district / Vellore region,Locality / Village,servicing-areas/pallikonda-catering.html
17,Anaikattu,"Anaikattu, Vellore, Tamil Nadu",Vellore district / Vellore region,Locality / Village,servicing-areas/anaikattu-catering.html
18,Odugathur,"Odugathur, Vellore, Tamil Nadu",Vellore district / Vellore region,Locality / Village,servicing-areas/odugathur-catering.html
19,Virinjipuram,"Virinjipuram, Vellore, Tamil Nadu",Vellore district / Vellore region,Locality / Village,servicing-areas/virinjipuram-catering.html
20,Poigai,"Poigai, Vellore, Tamil Nadu",Vellore district / Vellore region,Locality / Village,servicing-areas/poigai-catering.html
21,Sathiyamangalam,"Sathiyamangalam, Vellore, Tamil Nadu",Vellore district / Vellore region,Locality / Village,servicing-areas/sathiyamangalam-catering.html
22,Seduvalai,"Seduvalai, Vellore, Tamil Nadu",Vellore district / Vellore region,Locality / Village,servicing-areas/seduvalai-catering.html
23,Thellur,"Thellur, Vellore, Tamil Nadu",Vellore district / Vellore region,Locality / Village,servicing-areas/thellur-catering.html
24,Abdullapuram,"Abdullapuram, Vellore, Tamil Nadu",Vellore district / Vellore region,Locality / Village,servicing-areas/abdullapuram-catering.html
25,Melmanavur,"Melmanavur, Vellore, Tamil Nadu",Vellore district / Vellore region,Locality / Village,servicing-areas/melmanavur-catering.html
26,Kilmanavur,"Kilmanavur, Vellore, Tamil Nadu",Vellore district / Vellore region,Locality / Village,servicing-areas/kilmanavur-catering.html
27,Sadupperi,"Sadupperi, Vellore, Tamil Nadu",Vellore district / Vellore region,Locality / Village,servicing-areas/sadupperi-catering.html
28,Sembedu,"Sembedu, Vellore, Tamil Nadu",Vellore district / Vellore region,Locality / Village,servicing-areas/sembedu-catering.html
29,Elavambadi,"Elavambadi, Vellore, Tamil Nadu",Vellore district / Vellore region,Locality / Village,servicing-areas/elavambadi-catering.html
30,Anpundi,"Anpundi, Vellore, Tamil Nadu",Vellore district / Vellore region,Locality / Village,servicing-areas/anpundi-catering.html
31,Budur,"Budur, Vellore, Tamil Nadu",Vellore district / Vellore region,Locality / Village,servicing-areas/budur-catering.html
32,Genganallore,"Genganallore, Vellore, Tamil Nadu",Vellore district / Vellore region,Locality / Village,servicing-areas/genganallore-catering.html
33,Usur,"Usur, Vellore, Tamil Nadu",Vellore district / Vellore region,Locality / Village,servicing-areas/usur-catering.html
34,Athiyur,"Athiyur, Vellore, Tamil Nadu",Vellore district / Vellore region,Locality / Village,servicing-areas/athiyur-catering.html
35,Appukal,"Appukal, Vellore, Tamil Nadu",Vellore district / Vellore region,Locality / Village,servicing-areas/appukal-catering.html
36,Devichettikuppam,"Devichettikuppam, Vellore, Tamil Nadu",Vellore district / Vellore region,Locality / Village,servicing-areas/devichettikuppam-catering.html
37,Karadikudi,"Karadikudi, Vellore, Tamil Nadu",Vellore district / Vellore region,Locality / Village,servicing-areas/karadikudi-catering.html
38,Karunkali,"Karunkali, Vellore, Tamil Nadu",Vellore district / Vellore region,Locality / Village,servicing-areas/karunkali-catering.html
39,Mahammadapuram,"Mahammadapuram, Vellore, Tamil Nadu",Vellore district / Vellore region,Locality / Village,servicing-areas/mahammadapuram-catering.html
40,Ongapadi,"Ongapadi, Vellore, Tamil Nadu",Vellore district / Vellore region,Locality / Village,servicing-areas/ongapadi-catering.html
41,Alleri,"Alleri, Vellore, Tamil Nadu",Vellore district / Vellore region,Locality / Village,servicing-areas/alleri-catering.html
42,Sholavaram,"Sholavaram, Vellore, Tamil Nadu",Vellore district / Vellore region,Locality / Village,servicing-areas/sholavaram-catering.html
43,Sathapalaiyam,"Sathapalaiyam, Vellore, Tamil Nadu",Vellore district / Vellore region,Locality / Village,servicing-areas/sathapalaiyam-catering.html
44,Palampakkam,"Palampakkam, Vellore, Tamil Nadu",Vellore district / Vellore region,Locality / Village,servicing-areas/palampakkam-catering.html
45,Thuttikadu,"Thuttikadu, Vellore, Tamil Nadu",Vellore district / Vellore region,Locality / Village,servicing-areas/thuttikadu-catering.html
46,Thellai,"Thellai, Vellore, Tamil Nadu",Vellore district / Vellore region,Locality / Village,servicing-areas/thellai-catering.html
47,Elluparai,"Elluparai, Vellore, Tamil Nadu",Vellore district / Vellore region,Locality / Village,servicing-areas/elluparai-catering.html
48,Kilkothur,"Kilkothur, Vellore, Tamil Nadu",Vellore district / Vellore region,Locality / Village,servicing-areas/kilkothur-catering.html
49,Pinnanthurai,"Pinnanthurai, Vellore, Tamil Nadu",Vellore district / Vellore region,Locality / Village,servicing-areas/pinnanthurai-catering.html
50,Nemandapuram,"Nemandapuram, Vellore, Tamil Nadu",Vellore district / Vellore region,Locality / Village,servicing-areas/nemandapuram-catering.html
51,Athikuppam,"Athikuppam, Vellore, Tamil Nadu",Vellore district / Vellore region,Locality / Village,servicing-areas/athikuppam-catering.html
52,Madayapattu,"Madayapattu, Vellore, Tamil Nadu",Vellore district / Vellore region,Locality / Village,servicing-areas/madayapattu-catering.html
53,Serpadi,"Serpadi, Vellore, Tamil Nadu",Vellore district / Vellore region,Locality / Village,servicing-areas/serpadi-catering.html
54,Pudukuppam,"Pudukuppam, Vellore, Tamil Nadu",Vellore district / Vellore region,Locality / Village,servicing-areas/pudukuppam-catering.html
55,Peenjamandai,"Peenjamandai, Vellore, Tamil Nadu",Vellore district / Vellore region,Locality / Village,servicing-areas/peenjamandai-catering.html
56,Katharikuppam,"Katharikuppam, Vellore, Tamil Nadu",Vellore district / Vellore region,Locality / Village,servicing-areas/katharikuppam-catering.html
57,Gengasanikuppam,"Gengasanikuppam, Vellore, Tamil Nadu",Vellore district / Vellore region,Locality / Village,servicing-areas/gengasanikuppam-catering.html
58,Vannanthangal,"Vannanthangal, Vellore, Tamil Nadu",Vellore district / Vellore region,Locality / Village,servicing-areas/vannanthangal-catering.html
59,Melarasampattu,"Melarasampattu, Vellore, Tamil Nadu",Vellore district / Vellore region,Locality / Village,servicing-areas/melarasampattu-catering.html
60,Umayampattu,"Umayampattu, Vellore, Tamil Nadu",Vellore district / Vellore region,Locality / Village,servicing-areas/umayampattu-catering.html
61,Mullavadi,"Mullavadi, Vellore, Tamil Nadu",Vellore district / Vellore region,Locality / Village,servicing-areas/mullavadi-catering.html
