page,nearest_page,similarity_percent,difference_percent,status,main_text_words
services/school-annual-day-catering-in-vellore.html,services/school-college-sports-day-catering-in-vellore.html,49.19,50.81,PASS,5424
services/school-college-sports-day-catering-in-vellore.html,services/school-annual-day-catering-in-vellore.html,49.19,50.81,PASS,5429
services/temple-festival-catering-in-vellore.html,services/temple-wedding-catering-in-vellore.html,48.95,51.05,PASS,4947
services/temple-wedding-catering-in-vellore.html,services/temple-festival-catering-in-vellore.html,48.95,51.05,PASS,4944
services/graduation-convocation-catering-in-vellore.html,services/graduation-party-catering-in-vellore.html,48.65,51.35,PASS,4689
services/graduation-party-catering-in-vellore.html,services/graduation-convocation-catering-in-vellore.html,48.65,51.35,PASS,4934
services/hospital-staff-catering-in-vellore.html,services/hospital-catering-in-vellore.html,48.64,51.36,PASS,4895
services/hospital-catering-in-vellore.html,services/hospital-staff-catering-in-vellore.html,48.64,51.36,PASS,4679
services/college-catering-in-vellore.html,services/college-fest-catering-in-vellore.html,48.45,51.55,PASS,4893
services/college-fest-catering-in-vellore.html,services/college-catering-in-vellore.html,48.45,51.55,PASS,5124
services/corporate-dinner-catering-in-vellore.html,services/corporate-catering-in-vellore.html,47.95,52.05,PASS,4929
services/corporate-catering-in-vellore.html,services/corporate-dinner-catering-in-vellore.html,47.95,52.05,PASS,4744
services/corporate-buffet-catering-in-vellore.html,services/corporate-catering-in-vellore.html,47.53,52.47,PASS,4892
services/first-birthday-catering-in-vellore.html,services/birthday-party-catering-in-vellore.html,46.8,53.2,PASS,5064
services/birthday-party-catering-in-vellore.html,services/first-birthday-catering-in-vellore.html,46.8,53.2,PASS,5091
services/corporate-pantry-catering-in-vellore.html,services/corporate-dinner-catering-in-vellore.html,46.27,53.73,PASS,4928
services/school-catering-in-vellore.html,services/school-college-sports-day-catering-in-vellore.html,46.17,53.83,PASS,4937
services/corporate-breakfast-catering-in-vellore.html,services/corporate-catering-in-vellore.html,45.91,54.09,PASS,4923
services/food-truck-catering-in-vellore.html,services/food-stall-catering-in-vellore.html,45.25,54.75,PASS,4955
services/food-stall-catering-in-vellore.html,services/food-truck-catering-in-vellore.html,45.25,54.75,PASS,5019
services/children-s-day-catering-in-vellore.html,services/father-s-day-catering-in-vellore.html,44.59,55.41,PASS,4936
services/father-s-day-catering-in-vellore.html,services/children-s-day-catering-in-vellore.html,44.59,55.41,PASS,4937
services/kids-party-catering-in-vellore.html,services/house-party-catering-in-vellore.html,44.17,55.83,PASS,4949
services/house-party-catering-in-vellore.html,services/kids-party-catering-in-vellore.html,44.17,55.83,PASS,4934
services/surprise-party-catering-in-vellore.html,services/kids-party-catering-in-vellore.html,44.15,55.85,PASS,4936
services/ayudha-pooja-catering-in-vellore.html,services/saraswati-pooja-catering-in-vellore.html,44.01,55.99,PASS,4867
services/saraswati-pooja-catering-in-vellore.html,services/ayudha-pooja-catering-in-vellore.html,44.01,55.99,PASS,4863
services/women-s-day-catering-in-vellore.html,services/father-s-day-catering-in-vellore.html,43.89,56.11,PASS,4930
guides/blogs/how-to-improve-family-preferences-for-venue-coordination-vellore-food-counter-guide.html,guides/blogs/how-to-improve-family-preferences-for-buffet-catering-vellore-food-counter-guide.html,43.84,56.16,PASS,3206
guides/blogs/how-to-improve-family-preferences-for-buffet-catering-vellore-food-counter-guide.html,guides/blogs/how-to-improve-family-preferences-for-venue-coordination-vellore-food-counter-guide.html,43.84,56.16,PASS,3217
services/mother-s-day-catering-in-vellore.html,services/children-s-day-catering-in-vellore.html,43.66,56.34,PASS,4910
services/wedding-catering-in-vellore.html,services/hindu-wedding-catering-in-vellore.html,43.26,56.74,PASS,4720
services/hindu-wedding-catering-in-vellore.html,services/wedding-catering-in-vellore.html,43.26,56.74,PASS,4934
services/community-function-catering-in-vellore.html,services/club-function-catering-in-vellore.html,43.2,56.8,PASS,4902
services/club-function-catering-in-vellore.html,services/community-function-catering-in-vellore.html,43.2,56.8,PASS,4870
services/milestone-birthday-catering-in-vellore.html,services/first-birthday-catering-in-vellore.html,43.19,56.81,PASS,4910
services/valentine-s-day-catering-in-vellore.html,services/women-s-day-catering-in-vellore.html,43.16,56.84,PASS,4947
services/vegetarian-catering-in-vellore.html,services/non-vegetarian-catering-in-vellore.html,42.99,57.01,PASS,4671
services/non-vegetarian-catering-in-vellore.html,services/vegetarian-catering-in-vellore.html,42.99,57.01,PASS,4653
guides/blogs/guest-count-planning-guest-count-guide-practical-decisions-for-mixed-menus.html,guides/blogs/guest-count-planning-planning-guide-practical-decisions-for-mixed-menus.html,42.75,57.25,PASS,3005
guides/blogs/guest-count-planning-planning-guide-practical-decisions-for-mixed-menus.html,guides/blogs/guest-count-planning-guest-count-guide-practical-decisions-for-mixed-menus.html,42.75,57.25,PASS,2998
servicing-areas/palamadai-catering.html,servicing-areas/palamadai-r-f-catering.html,42.42,57.58,PASS,4191
servicing-areas/palamadai-r-f-catering.html,servicing-areas/palamadai-catering.html,42.42,57.58,PASS,4546
services/christian-wedding-catering-in-vellore.html,services/hindu-wedding-catering-in-vellore.html,42.28,57.72,PASS,4942
services/shradh-annual-ceremony-catering-in-vellore.html,services/naming-ceremony-catering-in-vellore.html,42.23,57.77,PASS,4941
